#MJD	U	Uerr	B	Berr	V	Verr	R	Rerr	I	Ierr
54977.34	n	n	n	n	n	n	17.7	0.09	n	n
54979.37	n	n	n	n	18.63	0.22	17.73	0.1	17.2	0.14
54982.59	n	n	20.06	0.29	18.69	0.12	17.72	0.07	17.21	0.07
54982.65	n	n	n	n	n	n	17.78	0.24	n	n
54984.66	n	n	n	n	n	n	17.8	0.21	n	n
54988.50	n	n	n	n	n	n	17.83	0.22	n	n
54991.65	n	n	n	n	n	n	17.86	0.09	n	n
54993.58	n	n	n	n	n	n	17.86	0.18	n	n
54994.62	n	n	n	n	n	n	17.86	0.21	n	n
54994.72	n	n	n	n	n	n	17.89	0.24	n	n
55009.38	n	n	n	n	19.05	0.11	18.06	0.04	17.45	0.03
55013.67	n	n	n	n	n	n	18.09	0.31	n	n
55031.39	n	n	n	n	19.35	0.1	18.26	0.04	17.68	0.04
55042.36	n	n	n	n	19.43	0.11	18.35	0.07	17.74	0.05
55056.35	n	n	20.54	0.2	19.54	0.15	18.52	0.06	17.92	0.05
55063.37	n	n	n	n	19.57	0.12	n	n	n	n
55064.32	n	n	n	n	n	n	18.56	0.08	n	n
55072.34	n	n	20.65	0.32	19.71	0.16	18.67	0.11	18.12	0.08
55079.34	n	n	20.7	0.21	19.76	0.15	18.72	0.14	18.16	0.13
55154.69	n	n	n	n	20.29	0.27	19.35	0.1	18.94	0.04
55209.60	n	n	n	n	20.87	0.12	19.93	0.09	19.57	0.08
55220.69	n	n	n	n	n	n	20.06	0.16	n	n
55251.50	n	n	n	n	21.23	0.37	20.3	0.25	20.04	0.23
55285.43	n	n	22.05	0.45	21.55	0.18	20.64	0.28	20.5	0.12
