-92.677	41.328	0.240
-84.787	40.859	0.109
-83.755	40.804	0.089
-82.782	40.756	0.071
-81.859	40.712	0.057
-81.443	40.712	0.049
-80.420	40.705	0.038
-79.835	40.717	0.034
-75.845	40.739	0.031
-72.431	40.822	0.012
-70.912	40.852	0.020
-70.426	40.884	0.014
-68.491	40.908	0.008
-66.952	40.964	0.021
-66.555	40.992	0.008
-64.412	41.059	0.017
-62.973	41.050	0.025
-62.357	41.085	0.015
-59.013	41.039	0.023
-56.551	41.112	0.008
-55.063	41.054	0.023
-54.646	41.081	0.005
-51.103	41.134	0.028
-49.187	41.129	0.031
-46.696	41.178	0.006
-43.609	41.185	0.017
-35.680	41.221	0.007
-29.774	41.238	0.007
-16.902	41.301	0.006
-14.947	41.320	0.006
-5.270	41.326	0.005
-2.977	41.334	0.006
-1.022	41.324	0.006
5.945	41.325	0.023
14.778	41.240	0.047
25.675	41.039	0.015
31.670	40.908	0.039
35.600	40.852	0.015
