#MJD	U	Uerr	B	Berr	V	Verr	R	Rerr	I	Ierr	J	Jerr	H	Herr	K	Kerr
46924.48	 n	 n	 4.60	 0.05	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46929.49	 n	 n	 n	 n	 n	 n	 2.30	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46930.23	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 1.33	 0.05	 1.04	 0.05	 0.81	 0.05
46930.29	 n	 n	 n	 n	 n	 n	 n	 n 	 1.92	 0.05	 n	 n	 n	 n	 n	 n
46930.48	 n	 n	 n	 n	 2.98	 0.05	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46931.53	 7.09	 0.05	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46934.21	 n	 n	 4.55	 0.05	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46935.22	 n	 n	 n	 n	 n	 n	 2.29	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46936.20	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 1.29	 0.05	 n	 n	 n	 n
46936.47	 n	 n	 n	 n	 2.98	 0.05	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46941.21	 n	 n	 n	 n	 n	 n	 2.30	 0.05 	 1.93	 0.05	 n	 n	 n	 n	 n	 n
46942.22	 n	 n	 n	 n	 2.98	 0.05	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46942.24	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 1.31	 0.05	 1.00	 0.05	 n	 n
46947.21	 n	 n	 n	 n	 n	 n	 2.39	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46949.20	 7.27	 0.05	 n	 n	 3.15	 0.05	 n	 n 	 2.01	 0.05	 n	 n	 n	 n	 n	 n
46951.46	 n	 n	 4.90	 0.05	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46952.21	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 1.41	 0.05	 n	 n	 n	 n
46954.19	 n	 n	 n	 n	 3.35	 0.05	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46954.49	 n	 n	 n	 n	 n	 n	 2.57	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46955.21	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 1.14	 0.05	 0.87	 0.05
46959.20	 n	 n	 n	 n	 3.59	 0.05	 n	 n 	 2.32	 0.05	 n	 n	 n	 n	 n	 n
46959.21	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 1.60	 0.05	 n	 n	 n	 n
46960.49	 n	 n	 n	 n	 n	 n	 2.83	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46964.46	 n	 n	 n	 n	 3.97	 0.05	 3.05	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
