53805.890	41.930	0.028
53809.850	41.904	0.022
53815.860	41.887	0.020
53818.900	41.900	0.020
53819.900	41.897	0.020
53823.830	41.915	0.021
53824.870	41.913	0.021
53828.890	41.933	0.022
53829.920	41.938	0.022
53830.890	41.931	0.021
53832.860	41.947	0.022
53835.870	41.965	0.022
53838.820	42.011	0.024
53840.830	42.013	0.023
53841.850	42.034	0.024
53845.820	42.062	0.024
53850.810	42.076	0.023
53853.850	42.088	0.023
53858.790	42.110	0.023
53861.820	42.116	0.022
53862.800	42.120	0.022
53866.750	42.139	0.023
53867.780	42.131	0.022
53870.800	42.123	0.025
53871.790	42.105	0.028
53872.780	42.106	0.025
53886.780	41.928	0.027
53890.720	41.879	0.026
53891.740	41.830	0.030
53892.760	41.807	0.029
53893.710	41.801	0.031
53894.750	41.767	0.029
53897.660	41.553	0.027
53898.710	41.332	0.029
