53805.890	41.894	0.014
53809.850	41.848	0.016
53815.860	41.830	0.015
53818.900	41.839	0.015
53819.900	41.841	0.015
53823.830	41.851	0.016
53824.870	41.852	0.015
53828.890	41.872	0.016
53829.920	41.872	0.016
53830.890	41.870	0.016
53832.860	41.884	0.016
53835.870	41.901	0.016
53838.820	41.947	0.016
53840.830	41.947	0.016
53841.850	41.963	0.016
53845.820	41.992	0.016
53850.810	42.008	0.016
53853.850	42.020	0.016
53858.790	42.042	0.016
53861.820	42.050	0.016
53862.800	42.055	0.016
53866.750	42.074	0.016
53867.780	42.069	0.016
53870.800	42.075	0.016
53871.790	42.055	0.016
53872.780	42.052	0.016
53886.780	41.872	0.017
53890.720	41.822	0.018
53891.740	41.777	0.018
53892.760	41.753	0.018
53893.710	41.751	0.018
53894.750	41.711	0.018
53897.660	41.497	0.018
53898.710	41.284	0.019
