# ph	Lobs	err	L+BB	err	

149.21	5.48e+40	6.46e+39	1.94e+41	3.98e+40
151.20	5.32e+40	5.83e+39	1.60e+41	1.74e+40
155.02	5.10e+40	6.00e+39	1.51e+41	1.98e+40
158.15	4.95e+40	3.29e+39	1.52e+41	4.53e+40
160.07	4.89e+40	5.06e+39	1.45e+41	3.33e+40
161.10	4.87e+40	5.72e+39	1.44e+41	3.24e+40
161.20	4.81e+40	6.24e+39	1.43e+41	2.78e+40
175.77	4.29e+40	2.83e+39	1.54e+41	5.06e+40
180.03	4.07e+40	6.84e+39	1.23e+41	2.66e+40
197.64	3.48e+40	2.34e+39	1.37e+41	6.30e+40
208.54	3.23e+40	1.87e+39	1.11e+41	4.29e+40
222.44	2.80e+40	1.11e+39	6.85e+40	2.34e+40
230.36	2.65e+40	1.37e+39	7.65e+40	1.87e+40
238.33	2.40e+40	1.42e+39	5.38e+40	1.36e+40
245.29	2.30e+40	1.66e+39	5.12e+40	1.19e+40
320.16	1.31e+40	1.93e+39	3.37e+40	9.67e+39
374.73	7.82e+39	1.35e+39	1.93e+40	6.37e+39
385.75	7.06e+39	1.32e+39	1.61e+40	4.80e+39
416.37	5.50e+39	9.85e+38	1.20e+40	2.14e+39
450.08	4.00e+39	5.33e+38	7.45e+39	1.36e+39

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_SN2009E_BVRI.txt and logL-bb_SN2009E_BVRI.txt for simple LC files
# Methodology:
# filters used:BVRI
# redshift used:0.006328
# extinction used:0.04
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
