##phase	B	err	V	err	R	err	I	err	
#
131.33	19.84	0.04	18.42	0.00	17.55	0.03	16.99	0.10
134.01	19.93	0.04	18.35	0.16	17.61	0.07	17.04	0.10
135.01	19.96	0.04	18.37	0.16	17.64	0.11	17.05	0.10
135.21	19.96	0.04	18.38	0.16	17.64	0.11	17.06	0.10
136.98	20.01	0.04	18.50	0.11	17.66	0.10	17.09	0.10
136.99	20.01	0.04	18.50	0.11	17.67	0.10	17.09	0.10
138.15	20.03	0.04	18.58	0.00	17.69	0.03	17.11	0.10
138.97	20.05	0.04	18.58	0.09	17.68	0.06	17.12	0.10
143.93	20.08	0.06	18.60	0.15	17.70	0.09	17.18	0.10
145.95	20.07	0.06	18.63	0.00	17.73	0.10	17.20	0.10
149.15	20.06	0.04	18.69	0.00	17.72	0.07	17.21	0.10
149.21	20.06	0.04	18.69	0.01	17.78	0.24	17.21	0.10
151.20	20.06	0.06	18.77	0.15	17.80	0.21	17.23	0.10
155.02	20.05	0.13	18.88	0.18	17.83	0.22	17.26	0.10
158.15	20.05	0.20	18.95	0.19	17.86	0.09	17.29	0.10
160.07	20.05	0.23	18.98	0.19	17.86	0.18	17.31	0.10
161.10	20.05	0.25	19.00	0.19	17.86	0.21	17.32	0.10
161.20	20.05	0.25	19.00	0.19	17.89	0.24	17.32	0.10
175.77	20.11	0.45	19.05	0.00	18.06	0.04	17.45	0.10
180.03	20.14	0.47	19.20	0.18	18.09	0.31	17.49	0.10
197.64	20.29	0.44	19.35	0.00	18.26	0.04	17.68	0.10
208.54	20.40	0.30	19.43	0.00	18.35	0.07	17.74	0.10
222.44	20.54	0.04	19.54	0.00	18.52	0.06	17.92	0.10
230.36	20.60	0.09	19.59	0.10	18.56	0.08	18.02	0.10
238.33	20.65	0.04	19.71	0.00	18.67	0.11	18.12	0.10
245.29	20.70	0.04	19.76	0.00	18.72	0.14	18.16	0.10
320.16	21.06	0.78	20.29	0.00	19.35	0.10	18.94	0.10
374.73	21.44	0.80	20.87	0.00	19.93	0.09	19.57	0.10
385.75	21.53	0.78	20.96	0.21	20.06	0.16	19.69	0.10
416.37	21.78	0.62	21.23	0.00	20.30	0.25	20.04	0.10
450.08	22.05	0.04	21.55	0.00	20.64	0.28	20.50	0.10
#
## Reference bands: R
## B: Gaussian Process used for interp and extrap
## V: Gaussian Process used for interp and extrap
## I: Linear interp; extrap=c
## p = polynomial, c = constant colour, a = average
