# ph	T_bb	err	R_bb	err	L_bb	err

121.07	3.87e+03	2.19e+02	1.48e+15	3.31e+14	3.47e+41	1.74e+41
121.10	3.89e+03	2.32e+02	1.44e+15	3.41e+14	3.38e+41	1.79e+41
121.21	3.86e+03	2.28e+02	1.49e+15	3.49e+14	3.49e+41	1.83e+41
121.51	3.82e+03	2.75e+02	1.54e+15	4.43e+14	3.59e+41	2.32e+41
122.07	3.64e+03	2.74e+02	1.97e+15	5.50e+14	4.85e+41	3.07e+41
122.18	3.69e+03	2.44e+02	1.86e+15	4.43e+14	4.53e+41	2.47e+41
122.26	3.84e+03	1.76e+02	1.58e+15	2.52e+14	3.89e+41	1.43e+41
123.11	3.84e+03	1.52e+02	1.42e+15	2.21e+14	3.13e+41	1.09e+41
123.11	3.83e+03	1.44e+02	1.44e+15	2.11e+14	3.18e+41	1.05e+41
124.09	3.69e+03	2.98e+02	1.76e+15	5.13e+14	4.09e+41	2.73e+41
124.31	3.71e+03	2.86e+02	1.67e+15	4.85e+14	3.76e+41	2.48e+41
125.07	3.83e+03	1.71e+02	1.36e+15	2.30e+14	2.86e+41	1.09e+41
125.11	3.84e+03	1.78e+02	1.35e+15	2.41e+14	2.83e+41	1.14e+41
126.05	3.83e+03	1.52e+02	1.33e+15	2.01e+14	2.72e+41	9.29e+40
126.24	3.85e+03	1.46e+02	1.31e+15	1.89e+14	2.66e+41	8.69e+40
126.34	3.86e+03	1.58e+02	1.28e+15	2.05e+14	2.59e+41	9.32e+40
128.25	3.85e+03	1.41e+02	1.25e+15	1.80e+14	2.44e+41	7.90e+40
129.05	3.82e+03	1.30e+02	1.28e+15	1.71e+14	2.48e+41	7.44e+40
129.07	3.77e+03	1.23e+02	1.35e+15	1.65e+14	2.63e+41	7.29e+40
131.33	3.68e+03	1.46e+02	1.50e+15	2.14e+14	2.93e+41	9.60e+40
134.01	3.73e+03	1.40e+02	1.31e+15	1.95e+14	2.38e+41	7.91e+40
135.01	3.77e+03	1.32e+02	1.24e+15	1.75e+14	2.21e+41	6.97e+40
135.21	3.76e+03	1.33e+02	1.24e+15	1.77e+14	2.20e+41	7.01e+40
