55188.300	41.074	0.036
55189.100	41.101	0.035
55192.200	41.166	0.032
55206.300	41.341	0.022
55207.800	41.371	0.021
55211.200	41.433	0.020
55212.200	41.423	0.025
55225.200	41.543	0.027
55235.200	41.618	0.027
55238.100	41.641	0.027
55244.100	41.671	0.027
55260.200	41.733	0.027
55264.100	41.726	0.027
55271.000	41.710	0.027
55271.100	41.709	0.027
55274.100	41.700	0.028
55277.100	41.680	0.027
55278.100	41.672	0.027
55280.100	41.652	0.027
55283.100	41.611	0.028
55290.100	41.485	0.028
55292.000	41.450	0.028
55305.100	41.279	0.028
55313.000	41.225	0.028
55355.000	41.091	0.074
