#MJD	B	Berr	g	gerr	r	rerr	i	ierr	z	zerr
56348.57	n	n	n	n	19.622	0.069	19.759	0.083	n	n
56349.57	n	n	n	n	19.716	0.09	19.662	0.04	n	n
56350.67	n	n	n	n	19.636	0.105	19.671	0.117	n	n
56351.66	n	n	21.409	0.176	n	n	n	n	n	n
56354.66	n	n	n	n	19.693	0.048	19.903	0.083	n	n
56356.72	n	n	21.488	0.152	n	n	n	n	n	n
56363.66	21.822	0.17	21.296	0.161	19.746	0.044	19.953	0.059	n	n
56364.65	21.946	0.168	n	n	n	n	n	n	n	n
56366.64	21.933	0.199	n	n	n	n	n	n	n	n
56367.65	21.46	0.142	n	n	19.821	0.062	20.109	0.143	n	n
56377.66	n	n	n	n	19.795	0.128	n	n	n	n
