#MJD	g	gerr	r	rerr	o	oerr	c	cerr
59304.81	21.27	0.11	20.02	0.15	NaN	NaN	NaN	NaN
59304.85	21.27	0.11	20.02	0.15	NaN	NaN	NaN	NaN
59307.75	21.47	0.11	20.12	0.15	NaN	NaN	NaN	NaN
59307.78	21.47	0.11	20.12	0.15	NaN	NaN	NaN	NaN
59311.67	21.59	0.11	20.25	0.15	NaN	NaN	NaN	NaN
59313.71	21.62	0.11	20.30	0.15	NaN	NaN	NaN	NaN
59313.75	21.62	0.11	20.30	0.15	NaN	NaN	NaN	NaN
59315.75	21.63	0.11	20.35	0.15	NaN	NaN	NaN	NaN
59322.77	21.63	0.13	20.46	0.16	NaN	NaN	NaN	NaN
59329.73	21.57	0.13	20.52	0.16	NaN	NaN	NaN	NaN
59335.71	21.51	0.12	20.58	0.16	NaN	NaN	NaN	NaN
59338.74	21.48	0.12	20.63	0.16	NaN	NaN	NaN	NaN
59342.78	21.46	0.11	20.70	0.16	NaN	NaN	NaN	NaN
59344.76	21.47	0.12	20.74	0.16	NaN	NaN	NaN	NaN
59348.69	21.50	0.12	20.83	0.16	NaN	NaN	NaN	NaN
59353.68	21.56	0.13	20.92	0.16	NaN	NaN	NaN	NaN
59367.72	21.78	0.13	21.11	0.16	NaN	NaN	NaN	NaN
59371.69	21.82	0.13	21.14	0.16	NaN	NaN	NaN	NaN
59371.73	NaN	NaN	21.14	0.16	NaN	NaN	NaN	NaN
59375.73	NaN	NaN	21.15	0.16	NaN	NaN	NaN	NaN
59379.71	NaN	NaN	21.15	0.17	NaN	NaN	NaN	NaN
