#MJD	B	errB	V	errV	R	errR
56968.9	-13.78	NaN	NaN	NaN	NaN	NaN
56972.1	-14.20	NaN	NaN	NaN	NaN	NaN
56982.3	-12.80	0.65	-13.51	0.51	NaN	NaN
56983.4	NaN	NaN	-13.64	0.45	NaN	NaN
56990.9	NaN	NaN	-12.81	1.07	NaN	NaN
56993.0	NaN	NaN	-13.60	0.58	NaN	NaN
56994.0	NaN	NaN	-13.63	0.61	NaN	NaN
56996.8	NaN	NaN	-13.77	0.46	-14.52	NaN
57000.1	NaN	NaN	-13.56	0.42	-14.25	NaN
57003.0	-12.98	0.27	NaN	NaN	-13.63	0.40
57005.9	NaN	NaN	-13.97	0.33	NaN	NaN
57007.1	-12.70	0.46	NaN	NaN	-13.43	0.56
57012.0	-12.86	0.33	NaN	NaN	-14.04	0.36
57015.0	-12.87	0.25	NaN	NaN	-14.13	0.30
57015.9	-12.85	0.29	NaN	NaN	-13.76	0.42
57017.0	NaN	NaN	NaN	NaN	NaN	NaN
57017.9	-13.28	0.26	NaN	NaN	-14.00	0.39
57019.8	NaN	NaN	-13.95	0.56	NaN	NaN
57020.7	-13.24	0.23	NaN	NaN	NaN	NaN
57021.9	NaN	NaN	-13.76	0.57	-14.07	0.38
57023.9	-13.36	0.29	NaN	NaN	-14.10	0.36
57025.7	-13.30	0.23	NaN	NaN	NaN	NaN
57026.7	-13.34	0.21	-13.91	0.29	-14.14	0.26
57027.9	-13.15	0.22	NaN	NaN	-14.22	0.36
57029.6	NaN	NaN	-14.16	0.27	NaN	NaN
57033.9	NaN	NaN	-14.71	0.13	-14.28	0.34
57036.6	NaN	NaN	-14.36	0.15	-14.64	0.09
57044.7	NaN	NaN	-14.89	0.13	-14.40	0.18
57049.2	NaN	NaN	-14.41	0.17	-14.59	0.12
57062.4	NaN	NaN	-14.81	0.14	-14.76	0.16
57076.4	NaN	NaN	-14.55	0.15	-14.70	0.17
57090.4	NaN	NaN	-14.77	0.10	-14.75	0.15
57104.3	NaN	NaN	-14.62	0.11	-14.95	0.09
57118.2	NaN	NaN	-14.81	0.10	-14.83	0.18
57132.1	-14.12	0.17	-14.81	0.16	-15.02	0.17
57149.1	-13.95	0.27	-14.78	0.16	-14.89	0.16
57168.3	-14.00	0.17	NaN	NaN	-15.02	0.15
57188.2	NaN	NaN	-14.86	0.15	-14.80	0.23
57208.1	-14.32	0.18	NaN	NaN	-14.24	0.28
57216.2	-13.51	0.38	-14.92	0.15	-14.91	0.29
57224.0	NaN	NaN	-14.40	0.25	-14.87	0.23
57325.8	NaN	NaN	-14.26	NaN	-14.64	NaN
57340.9	NaN	NaN	-13.56	0.55	-13.05	1.08
57367.1	NaN	NaN	-12.85	0.91	-12.46	1.50
