#MJD	B	errB	V	errV	R	errR
56968.9	-14.14	0.17	NaN	NaN	NaN	NaN
56972.1	-13.94	0.53	NaN	NaN	NaN	NaN
56982.3	-14.35	0.13	-15.06	0.08	NaN	NaN
56983.4	NaN	NaN	-15.05	0.07	NaN	NaN
56990.9	NaN	NaN	-15.26	0.10	-15.26	0.11
56993.0	NaN	NaN	-15.20	0.13	-15.57	0.07
56994.0	NaN	NaN	-15.25	0.10	-15.45	0.07
56996.8	NaN	NaN	-15.47	0.09	-15.42	0.10
57000.1	NaN	NaN	-15.38	0.08	-15.53	0.07
57003.0	-14.60	0.07	NaN	NaN	-15.39	0.04
57005.9	NaN	NaN	-15.33	0.08	NaN	NaN
57007.1	-14.68	0.08	NaN	NaN	-15.55	0.03
57012.0	-14.80	0.06	NaN	NaN	-15.52	0.05
57015.0	-14.80	0.06	NaN	NaN	-15.59	0.05
57015.9	-14.86	0.06	NaN	NaN	-15.53	0.04
57017.0	NaN	NaN	NaN	NaN	-15.48	0.09
57017.9	-14.80	0.05	NaN	NaN	-15.63	0.04
57019.8	NaN	NaN	-15.38	0.12	-15.58	0.07
57020.7	-14.70	0.06	NaN	NaN	NaN	NaN
57021.9	NaN	NaN	-15.54	0.09	-15.60	0.05
57023.9	-14.92	0.04	NaN	NaN	-15.58	0.03
57025.7	-14.87	0.06	NaN	NaN	NaN	NaN
57026.7	-14.92	0.06	-15.66	0.07	-15.69	0.03
57027.9	-14.89	0.06	NaN	NaN	-15.57	0.04
57029.6	NaN	NaN	-15.51	0.05	NaN	NaN
57033.9	NaN	NaN	-15.57	0.06	-15.79	0.04
57036.6	NaN	NaN	-15.67	0.07	-15.77	0.06
57044.7	NaN	NaN	-15.57	0.08	-15.72	0.05
57049.2	NaN	NaN	-15.65	0.06	-15.87	0.04
57062.4	NaN	NaN	-15.72	0.06	-15.94	0.03
57076.4	NaN	NaN	-15.74	0.04	-15.93	0.04
57090.4	NaN	NaN	-15.79	0.05	-16.01	0.04
57104.3	NaN	NaN	-15.85	0.04	-16.09	0.04
57118.2	NaN	NaN	-15.85	0.06	-16.07	0.04
57132.1	-15.20	0.05	-15.86	0.07	-16.05	0.04
57149.1	-15.09	0.08	-15.77	0.07	-16.07	0.05
57168.3	-14.92	0.08	NaN	NaN	-15.98	0.05
57188.2	NaN	NaN	-15.64	0.07	-15.87	0.08
57208.1	-14.78	0.10	NaN	NaN	-15.73	0.09
57216.2	-14.73	0.07	-15.64	0.06	-15.90	0.04
57224.0	NaN	NaN	-15.48	0.08	-15.87	0.05
57325.8	NaN	NaN	-14.12	0.25	-14.25	0.21
57340.9	NaN	NaN	-14.07	0.25	-14.57	0.18
57367.1	NaN	NaN	-13.86	0.28	-14.64	0.11
