#MJD	B	errB	V	errV	R	errR
56968.9	-13.83	0.18	NaN	NaN	NaN	NaN
56972.1	-14.49	0.15	NaN	NaN	NaN	NaN
56982.3	-14.11	0.17	-14.96	0.06	NaN	NaN
56983.4	NaN	NaN	-14.90	0.06	NaN	NaN
56990.9	NaN	NaN	-15.17	0.06	-15.57	0.07
56993.0	NaN	NaN	-15.08	0.07	-15.46	0.08
56994.0	NaN	NaN	-15.16	0.08	-15.34	0.08
56996.8	NaN	NaN	-15.30	0.07	-15.49	0.08
57000.1	NaN	NaN	-15.19	0.06	-15.63	0.04
57003.0	-14.68	0.05	NaN	NaN	-15.49	0.07
57005.9	NaN	NaN	-15.24	0.05	NaN	NaN
57007.1	-14.68	0.05	NaN	NaN	-15.50	0.06
57012.0	-14.80	0.04	NaN	NaN	-15.56	0.06
57015.0	-14.82	0.05	NaN	NaN	-15.55	0.07
57015.9	-14.81	0.04	NaN	NaN	-15.53	0.06
57017.0	NaN	NaN	NaN	NaN	-15.73	0.05
57017.9	-14.69	0.05	NaN	NaN	-15.58	0.06
57019.8	NaN	NaN	-15.27	0.11	-15.66	0.06
57020.7	-14.87	0.04	NaN	NaN	NaN	NaN
57021.9	NaN	NaN	-15.50	0.07	-15.63	0.06
57023.9	-14.91	0.04	NaN	NaN	-15.60	0.06
57025.7	-14.95	0.03	NaN	NaN	NaN	NaN
57026.7	-14.99	0.04	-15.35	0.07	-15.68	0.06
57027.9	-14.95	0.04	NaN	NaN	-15.68	0.05
57029.6	NaN	NaN	-15.48	0.03	NaN	NaN
57033.9	NaN	NaN	-15.53	0.07	-15.58	0.06
57036.6	NaN	NaN	-15.55	0.05	-15.68	0.07
57044.7	NaN	NaN	-15.69	0.04	-15.72	0.05
57049.2	NaN	NaN	-15.66	0.05	-15.78	0.05
57062.4	NaN	NaN	-15.84	0.04	-15.85	0.06
57076.4	NaN	NaN	-15.74	0.04	-15.90	0.05
57090.4	NaN	NaN	-15.92	0.04	-16.04	0.04
57104.3	NaN	NaN	-15.78	0.04	-16.02	0.04
57118.2	NaN	NaN	-15.76	0.04	-16.05	0.04
57132.1	-15.44	0.05	-15.82	0.04	-16.09	0.06
57149.1	-15.21	0.07	-15.70	0.05	-16.15	0.05
57168.3	-14.80	0.04	NaN	NaN	-16.06	0.05
57188.2	NaN	NaN	-15.54	0.04	-16.05	0.05
57208.1	-14.81	0.09	NaN	NaN	-15.97	0.05
57216.2	-14.79	0.08	-15.74	0.05	-15.93	0.05
57224.0	NaN	NaN	-15.51	0.07	-15.86	0.05
57325.8	NaN	NaN	-14.03	0.25	-14.61	0.19
57340.9	NaN	NaN	-14.07	0.23	-14.62	0.18
57367.1	NaN	NaN	-13.75	0.26	-14.62	0.17
