#MJD	B	Berr	V	Verr	R	Rerr	I	Ierr	J	Jerr	H	Herr	K	Kerr	
57311.3	n	n	n	n	n	n	22.03	1.50	n	n	n	n	n	n
57324.3	n	n	n	n	n	n	21.02	1.50	n	n	n	n	n	n
57335.4	n	n	n	n	n	n	22.48	2.00	n	n	n	n	n	n
57341.2	n	n	n	n	n	n	21.63	1.50	n	n	n	n	n	n
57347.3	n	n	n	n	n	n	22.94	1.50	n	n	n	n	n	n
57355.2	n	n	n	n	n	n	21.67	2.00	n	n	n	n	n	n
57365.3	n	n	n	n	n	n	22.12	2.01	n	n	n	n	n	n
57371.3	n	n	n	n	n	n	21.87	1.01	n	n	n	n	n	n
57376.3	n	n	25.21	3.01	24.83	0.27	21.54	1.01	n	n	n	n	n	n
57381.2	n	n	n	n	n	n	21.82	1.01	n	n	n	n	n	n
57385.2	n	n	n	n	n	n	21.06	1.51	n	n	n	n	n	n
57397.2	n	n	24.69	2.01	25.14	3.01	25.00	3.02	n	n	n	n	n	n
57451.0	n	n	23.15	3.67	23.39	2.63	23.26	3.76	n	n	n	n	n	n
